"","Antoni","Pere","Marta","Claudia","Marc","Maria"
"100",988103,991355.8,977629.4,993761.1,993966.3,995091
"101",988087.9,991344.8,977604.4,993753.9,993958.5,995085.4
"102",988072.7,991333.8,977579.5,993746.8,993950.8,995079.7
"103",988057.6,991322.7,977554.5,993739.6,993943.1,995074.1
"104",988042.4,991311.7,977529.5,993732.4,993935.4,995068.4
"105",988027.3,991300.6,977504.5,993725.3,993927.6,995062.7
"106",988012.1,991289.6,977479.6,993718.1,993919.9,995057.1
"107",987997,991278.6,977454.6,993710.9,993912.2,995051.4
"108",987981.8,991267.5,977429.6,993703.8,993904.5,995045.8
"109",987966.7,991256.5,977404.7,993696.6,993896.8,995040.1
"110",987952.1,991245.9,977381.1,993689.8,993889.3,995034.7
"111",987937.6,991235.3,977357.6,993682.9,993881.9,995029.3
"112",987923,991224.7,977334.1,993676.1,993874.5,995023.8
"113",987908.5,991214.1,977310.6,993669.2,993867.1,995018.4
"114",987893.9,991203.5,977287.1,993662.4,993859.7,995013
"115",987879.4,991192.9,977263.6,993655.5,993852.3,995007.6
"116",987864.8,991182.3,977240.1,993648.7,993844.8,995002.1
"117",987850.2,991171.7,977216.6,993641.8,993837.4,994996.7
"118",987835.7,991161,977193.1,993635,993830,994991.3
"119",987821.1,991150.4,977169.5,993628.2,993822.6,994985.9
"120",987806.6,991139.8,977146,993621.3,993815.2,994980.5
"121",987792,991129.2,977122.5,993614.5,993807.7,994975
"122",987777.3,991118.5,977099.7,993607.8,993800.3,994969.7
"123",987762.6,991107.8,977077,993601.1,993792.8,994964.4
"124",987747.9,991097.1,977054.2,993594.4,993785.3,994959.1
"125",987733.3,991086.4,977031.4,993587.7,993777.8,994953.8
"126",987718.6,991075.7,977008.6,993581,993770.3,994948.5
"127",987703.9,991065,976985.8,993574.4,993762.8,994943.2
"128",987689.2,991054.3,976963.1,993567.7,993755.3,994937.9
"129",987674.5,991043.6,976940.3,993561,993747.8,994932.6
"130",987659.8,991032.9,976917.5,993554.3,993740.3,994927.3
"131",987645.1,991022.2,976894.7,993547.6,993732.9,994922
"132",987630.4,991011.5,976872,993540.9,993725.4,994916.7
"133",987615.7,991000.8,976849.2,993534.2,993717.9,994911.4
"134",987601.6,990990.5,976827.3,993527.8,993710.7,994906.3
"135",987587.5,990980.2,976805.4,993521.4,993703.5,994901.2
"136",987573.4,990969.9,976783.5,993514.9,993696.3,994896.1
"137",987559.3,990959.6,976761.6,993508.5,993689.1,994891
"138",987545.1,990949.4,976739.7,993502.1,993681.9,994885.9
"139",987531,990939.1,976717.8,993495.7,993674.7,994880.8
"140",987516.9,990928.8,976695.8,993489.2,993667.5,994875.7
"141",987502.8,990918.5,976673.9,993482.8,993660.3,994870.6
"142",987488.7,990908.2,976652,993476.4,993653.1,994865.5
"143",987474.6,990897.9,976630.1,993469.9,993645.9,994860.4
"144",987460.5,990887.6,976608.2,993463.5,993638.7,994855.3
"145",987446.3,990877.4,976586.3,993457.1,993631.5,994850.2
"146",987431.5,990866.5,976563.8,993450.4,993624,994844.9
"147",987416.6,990855.7,976541.3,993443.8,993616.4,994839.7
"148",987401.7,990844.9,976518.8,993437.2,993608.8,994834.4
"149",987386.9,990834,976496.3,993430.5,993601.2,994829.1
"150",987372,990823.2,976473.8,993423.9,993593.6,994823.9
"151",987357.1,990812.3,976451.3,993417.3,993586.1,994818.6
"152",987342.2,990801.5,976428.8,993410.6,993578.5,994813.3
"153",987327.4,990790.7,976406.3,993404,993570.9,994808.1
"154",987312.5,990779.8,976383.7,993397.4,993563.3,994802.8
"155",987297.6,990769,976361.2,993390.7,993555.7,994797.5
"156",987282.8,990758.2,976338.7,993384.1,993548.2,994792.3
"157",987267.9,990747.3,976316.2,993377.5,993540.6,994787
"158",987251.7,990735.5,976292.4,993370.4,993532.3,994781.4
"159",987235.5,990723.8,976268.6,993363.4,993524.1,994775.8
"160",987219.4,990712,976244.8,993356.4,993515.8,994770.2
"161",987203.2,990700.2,976221,993349.3,993507.6,994764.6
"162",987187,990688.4,976197.2,993342.3,993499.3,994759.1
"163",987170.8,990676.6,976173.3,993335.2,993491.1,994753.5
"164",987154.7,990664.8,976149.5,993328.2,993482.8,994747.9
"165",987138.5,990653,976125.7,993321.2,993474.6,994742.3
"166",987122.3,990641.2,976101.9,993314.1,993466.3,994736.7
"167",987106.1,990629.5,976078.1,993307.1,993458.1,994731.1
"168",987090,990617.7,976054.3,993300.1,993449.9,994725.5
"169",987073.8,990605.9,976030.5,993293,993441.6,994719.9
"170",987055.4,990592.5,976005.5,993285.6,993432.2,994714.1
"171",987037.1,990579.1,975980.6,993278.2,993422.9,994708.2
"172",987018.7,990565.7,975955.7,993270.8,993413.5,994702.3
"173",987000.3,990552.4,975930.7,993263.4,993404.2,994696.4
"174",986982,990539,975905.8,993256,993394.8,994690.5
"175",986963.6,990525.6,975880.8,993248.6,993385.4,994684.7
"176",986945.2,990512.2,975855.9,993241.3,993376.1,994678.8
"177",986926.9,990498.8,975830.9,993233.9,993366.7,994672.9
"178",986908.5,990485.4,975806,993226.5,993357.3,994667
"179",986890.2,990472.1,975781,993219.1,993348,994661.1
"180",986871.8,990458.7,975756.1,993211.7,993338.6,994655.3
"181",986853.4,990445.3,975731.2,993204.3,993329.2,994649.4
"182",986832.5,990430,975704.9,993196.4,993318.6,994643.2
"183",986811.6,990414.8,975678.7,993188.6,993307.9,994637
"184",986790.6,990399.5,975652.5,993180.8,993297.2,994630.7
"185",986769.7,990384.3,975626.3,993173,993286.5,994624.5
"186",986748.8,990369,975600.1,993165.2,993275.9,994618.3
"187",986727.8,990353.8,975573.9,993157.4,993265.2,994612.1
"188",986706.9,990338.5,975547.6,993149.5,993254.5,994605.9
"189",986685.9,990323.2,975521.4,993141.7,993243.8,994599.6
"190",986665,990308,975495.2,993133.9,993233.2,994593.4
"191",986644.1,990292.7,975469,993126.1,993222.5,994587.2
"192",986623.1,990277.5,975442.8,993118.3,993211.8,994581
"193",986602.2,990262.2,975416.6,993110.4,993201.1,994574.8
"194",986578.4,990244.8,975389,993102.2,993189,994568.2
"195",986554.5,990227.5,975361.4,993093.9,993176.8,994561.5
"196",986530.7,990210.1,975333.8,993085.6,993164.7,994554.9
"197",986506.9,990192.7,975306.2,993077.3,993152.5,994548.3
"198",986483,990175.4,975278.6,993069,993140.4,994541.7
"199",986459.2,990158,975251,993060.7,993128.2,994535.1
"200",986435.4,990140.6,975223.5,993052.4,993116.1,994528.5
"201",986411.6,990123.3,975195.9,993044.1,993103.9,994521.9
"202",986387.7,990105.9,975168.3,993035.8,993091.8,994515.3
"203",986363.9,990088.5,975140.7,993027.5,993079.6,994508.7
"204",986340.1,990071.1,975113.1,993019.3,993067.4,994502.1
"205",986316.2,990053.8,975085.5,993011,993055.3,994495.5
"206",986289.4,990034.2,975056.8,993002.2,993041.6,994488.5
"207",986262.6,990014.7,975028.1,992993.5,993027.9,994481.6
"208",986235.7,989995.1,974999.3,992984.8,993014.2,994474.6
"209",986208.9,989975.6,974970.6,992976.1,993000.6,994467.7
"210",986182.1,989956,974941.9,992967.4,992986.9,994460.7
"211",986155.3,989936.5,974913.2,992958.7,992973.2,994453.8
"212",986128.4,989916.9,974884.4,992949.9,992959.5,994446.8
"213",986101.6,989897.3,974855.7,992941.2,992945.8,994439.8
"214",986074.8,989877.8,974827,992932.5,992932.1,994432.9
"215",986048,989858.2,974798.2,992923.8,992918.5,994425.9
"216",986021.1,989838.7,974769.5,992915.1,992904.8,994419
"217",985994.3,989819.1,974740.8,992906.4,992891.1,994412
"218",985964.3,989797.2,974710.8,992897.2,992875.8,994404.7
"219",985934.2,989775.3,974680.8,992888,992860.4,994397.3
"220",985904.1,989753.4,974650.8,992878.8,992845.1,994390
"221",985874.1,989731.5,974620.8,992869.6,992829.7,994382.6
"222",985844,989709.6,974590.8,992860.4,992814.4,994375.3
"223",985814,989687.7,974560.8,992851.2,992799.1,994367.9
"224",985783.9,989665.7,974530.8,992842,992783.7,994360.6
"225",985753.8,989643.8,974500.9,992832.9,992768.4,994353.2
"226",985723.8,989621.9,974470.9,992823.7,992753.1,994345.9
"227",985693.7,989600,974440.9,992814.5,992737.7,994338.6
"228",985663.7,989578.1,974410.9,992805.3,992722.4,994331.2
"229",985633.6,989556.2,974380.9,992796.1,992707.1,994323.9
"230",985600.6,989532.1,974350.3,992786.6,992690.2,994316.3
"231",985567.6,989508.1,974319.8,992777.2,992673.4,994308.7
"232",985534.6,989484,974289.2,992767.8,992656.6,994301.2
"233",985501.6,989460,974258.7,992758.3,992639.7,994293.6
"234",985468.6,989435.9,974228.1,992748.9,992622.9,994286
"235",985435.6,989411.9,974197.6,992739.4,992606.1,994278.5
"236",985402.6,989387.8,974167,992730,992589.2,994270.9
"237",985369.6,989363.7,974136.5,992720.5,992572.4,994263.3
"238",985336.6,989339.7,974105.9,992711.1,992555.5,994255.8
"239",985303.6,989315.6,974075.4,992701.6,992538.7,994248.2
"240",985270.7,989291.6,974044.8,992692.2,992521.9,994240.6
"241",985237.7,989267.5,974014.3,992682.7,992505,994233.1
"242",985202.3,989241.8,973983.7,992673.2,992487,994225.4
"243",985167,989216,973953.2,992663.7,992469,994217.8
"244",985131.7,989190.2,973922.7,992654.2,992450.9,994210.2
"245",985096.3,989164.5,973892.1,992644.7,992432.9,994202.6
"246",985061,989138.7,973861.6,992635.2,992414.9,994194.9
"247",985025.7,989113,973831,992625.7,992396.8,994187.3
"248",984990.3,989087.2,973800.5,992616.2,992378.8,994179.7
"249",984955,989061.4,973770,992606.6,992360.8,994172
"250",984919.7,989035.7,973739.4,992597.1,992342.7,994164.4
"251",984884.3,989009.9,973708.9,992587.6,992324.7,994156.8
"252",984849,988984.1,973678.3,992578.1,992306.7,994149.2
"253",984813.7,988958.4,973647.8,992568.6,992288.7,994141.5
"254",984776.7,988931.4,973617.5,992559.1,992269.8,994133.9
"255",984739.7,988904.5,973587.2,992549.6,992250.9,994126.3
"256",984702.7,988877.5,973556.9,992540.1,992232,994118.7
"257",984665.8,988850.5,973526.6,992530.7,992213.2,994111.1
"258",984628.8,988823.6,973496.3,992521.2,992194.3,994103.5
"259",984591.8,988796.6,973466,992511.7,992175.4,994095.9
"260",984554.8,988769.6,973435.7,992502.2,992156.5,994088.3
"261",984517.9,988742.7,973405.4,992492.7,992137.7,994080.6
"262",984480.9,988715.7,973375.1,992483.2,992118.8,994073
"263",984443.9,988688.8,973344.8,992473.8,992099.9,994065.4
"264",984406.9,988661.8,973314.4,992464.3,992081,994057.8
"265",984370,988634.8,973284.1,992454.8,992062.2,994050.2
"266",984332.3,988607.3,973254.3,992445.4,992042.9,994042.7
"267",984294.5,988579.8,973224.4,992436.1,992023.7,994035.1
"268",984256.8,988552.3,973194.5,992426.7,992004.4,994027.6
"269",984219.1,988524.8,973164.6,992417.3,991985.2,994020.1
