,Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
102,535.06,756.57,847.29,833.99,1115.58,896.21
103,535.06,756.57,847.29,833.99,1115.58,896.21
104,535.06,756.57,847.29,833.99,1115.58,896.21
105,535.06,756.57,847.29,833.99,1115.58,896.21
106,535.06,756.57,860.0,833.99,1115.58,896.21
107,535.06,756.57,860.0,833.99,1115.58,896.21
108,535.06,756.57,860.0,833.99,1115.58,896.21
109,535.06,767.92,860.0,833.99,1115.58,896.21
110,535.06,767.92,860.0,846.5,1115.58,896.21
111,535.06,767.92,860.0,846.5,1115.58,896.21
112,535.06,767.92,860.0,846.5,1115.58,909.66
113,535.06,767.92,860.0,846.5,1115.58,909.66
114,543.09,767.92,860.0,846.5,1132.32,909.66
115,543.09,767.92,860.0,846.5,1132.32,909.66
116,543.09,767.92,860.0,846.5,1132.32,909.66
117,543.09,767.92,860.0,846.5,1132.32,909.66
118,543.09,767.92,872.9,846.5,1132.32,909.66
119,543.09,767.92,872.9,846.5,1132.32,909.66
120,543.09,767.92,872.9,846.5,1132.32,909.66
121,543.09,779.44,872.9,846.5,1132.32,909.66
122,543.09,779.44,872.9,859.2,1132.32,909.66
123,543.09,779.44,872.9,859.2,1132.32,909.66
124,543.09,779.44,872.9,859.2,1132.32,923.3
125,543.09,779.44,872.9,859.2,1132.32,923.3
126,551.23,779.44,872.9,859.2,1149.3,923.3
127,551.23,779.44,872.9,859.2,1149.3,923.3
128,551.23,779.44,872.9,859.2,1149.3,923.3
129,551.23,779.44,872.9,859.2,1149.3,923.3
130,551.23,779.44,885.99,859.2,1149.3,923.3
131,551.23,779.44,885.99,859.2,1149.3,923.3
132,551.23,779.44,885.99,859.2,1149.3,923.3
133,551.23,791.13,885.99,859.2,1149.3,923.3
134,551.23,791.13,885.99,872.08,1149.3,923.3
135,551.23,791.13,885.99,872.08,1149.3,923.3
136,551.23,791.13,885.99,872.08,1149.3,937.15
137,551.23,791.13,885.99,872.08,1149.3,937.15
138,559.5,791.13,885.99,872.08,1166.54,937.15
139,559.5,791.13,885.99,872.08,1166.54,937.15
140,559.5,791.13,885.99,872.08,1166.54,937.15
141,559.5,791.13,885.99,872.08,1166.54,937.15
142,559.5,791.13,899.28,872.08,1166.54,937.15
143,559.5,791.13,899.28,872.08,1166.54,937.15
144,559.5,791.13,899.28,872.08,1166.54,937.15
145,559.5,803.0,899.28,872.08,1166.54,937.15
146,559.5,803.0,899.28,885.17,1166.54,937.15
147,559.5,803.0,899.28,885.17,1166.54,937.15
148,559.5,803.0,899.28,885.17,1166.54,951.21
149,559.5,803.0,899.28,885.17,1166.54,951.21
150,567.89,803.0,899.28,885.17,1184.04,951.21
151,567.89,803.0,899.28,885.17,1184.04,951.21
152,567.89,803.0,899.28,885.17,1184.04,951.21
153,567.89,803.0,899.28,885.17,1184.04,951.21
154,567.89,803.0,912.77,885.17,1184.04,951.21
155,567.89,803.0,912.77,885.17,1184.04,951.21
156,567.89,803.0,912.77,885.17,1184.04,951.21
157,567.89,815.04,912.77,885.17,1184.04,951.21
158,567.89,815.04,912.77,898.44,1184.04,951.21
159,567.89,815.04,912.77,898.44,1184.04,951.21
160,567.89,815.04,912.77,898.44,1184.04,965.47
161,567.89,815.04,912.77,898.44,1184.04,965.47
162,576.41,815.04,912.77,898.44,1201.8,965.47
