,index,Joan,Pere,Marta,Claudia,Marc,Maria
0,781,0.9996211676860342,0.9996827217514269,0.9997371020809637,0.9998763233886158,0.9997401427844814,0.9998926294084568
1,782,0.9992423353720682,0.9993654435028537,0.9994743115548683,0.9997526467772313,0.9994802855689628,0.9997852588169134
2,783,0.9988633954352859,0.9990481652542804,0.9992115210287728,0.9996289701658471,0.9992204283534443,0.9996778882253702
3,784,0.99848456312132,0.9987309929770661,0.9989486231097365,0.9995053964468184,0.9989605711379257,0.9995705176338268
4,785,0.9981057308073541,0.998413714728493,0.9986858325836411,0.9993817198354339,0.9987007139224071,0.9994631470422835
5,786,0.9977268984933882,0.9980964364799197,0.9984229346646049,0.9992580432240497,0.9984409612771966,0.9993558789035947
6,787,0.9973480661794223,0.9977791582313466,0.9981601441385093,0.9991343666126653,0.998181104061678,0.9992485083120514
7,788,0.9969692338654564,0.9974619859541322,0.9978973536124139,0.999010690001281,0.9979212468461595,0.999141137720508
8,789,0.9965904015514906,0.9971447077055591,0.9976344556933776,0.9988870133898967,0.9976613896306409,0.9990337671289647
9,790,0.9962115692375246,0.9968274294569859,0.9973716651672822,0.9987633367785124,0.9974015324151223,0.9989263965374214
10,791,0.9958327369235588,0.9965101512084127,0.9971087672482459,0.9986397630594837,0.9971416751996037,0.9988190259458781
11,792,0.9954539046095929,0.9961929789311983,0.9968459767221505,0.9985160864480993,0.9968818179840853,0.9987116553543347
12,793,0.9950632337858155,0.9958667990884769,0.9965715877584505,0.998390763559026,0.9966155819797753,0.9986034651399552
13,794,0.9946726705848546,0.9955406192457552,0.9962971987947504,0.9982654406699527,0.9963493459754653,0.9984953773784302
14,795,0.9942821073838938,0.9952144394030338,0.9960228098310505,0.9981401177808794,0.9960831099711552,0.9983871871640507
15,796,0.9938914365601165,0.9948882595603121,0.9957484208673505,0.9980147948918061,0.9958168739668453,0.9982789969496713
16,797,0.9935008733591556,0.9945621856889496,0.9954740319036505,0.9978894720027328,0.9955506379625354,0.9981708067352917
17,798,0.9931103101581948,0.994236005846228,0.9951996429399504,0.9977641491136595,0.9952844019582254,0.9980626165209121
18,799,0.9927196393344175,0.9939098260035064,0.9949253613691912,0.9976389291169419,0.9950181659539155,0.9979544263065326
19,800,0.9923290761334567,0.9935836461607849,0.9946509724054912,0.9975136062278684,0.9947519299496054,0.9978463385450076
20,801,0.9919384053096792,0.9932574663180633,0.9943765834417913,0.9973882833387951,0.9944856939452955,0.9977381483306281
21,802,0.9915478421087184,0.9929313924467007,0.9941021944780912,0.997262960449722,0.9942194579409855,0.9976299581162487
22,803,0.9911572789077575,0.9926052126039792,0.9938278055143912,0.9971376375606485,0.9939532219366756,0.9975217679018691
23,804,0.9907666080839802,0.9922790327612576,0.9935534165506912,0.9970123146715754,0.9936869859323656,0.9974135776874895
24,805,0.9903693722683984,0.991948190178744,0.99326925482938,0.9968860657513019,0.993417717389122,0.997305182567401
25,806,0.9899721364528166,0.9916173475962305,0.992984985715128,0.9967599197233842,0.9931485534161865,0.9971968899001669
26,807,0.9895747930144182,0.991286505013717,0.9927008239938167,0.9966336708031109,0.9928793894432509,0.9970884947800783
27,808,0.9891775571988364,0.9909556624312035,0.9924165548795647,0.9965074218828375,0.9926102254703154,0.9969800996599897
28,809,0.9887803213832546,0.9906249258200488,0.9921323931582535,0.9963811729625642,0.9923409569270718,0.9968717045399013
29,810,0.9883830855676727,0.9902940832375352,0.9918482314369422,0.9962550269346464,0.9920717929541363,0.9967633094198126
30,811,0.9879857421292744,0.9899632406550217,0.9915639623226902,0.996128778014373,0.9918026289812008,0.9966550167525786
31,812,0.9875885063136925,0.9896323980725082,0.991279800601379,0.9960025290940997,0.9915333604379573,0.99654662163249
32,813,0.9871912704981107,0.9893015554899947,0.990995531487127,0.9958762801738263,0.9912641964650216,0.9964382265124013
33,814,0.9867939270597125,0.9889707129074812,0.9907113697658156,0.9957501341459085,0.9909950324920861,0.9963298313923129
34,815,0.9863966912441304,0.9886398703249676,0.9904272080445045,0.9956238852256353,0.9907257639488425,0.9962214362722243
35,816,0.9859994554285486,0.988309027742454,0.9901429389302525,0.9954976363053618,0.990456599975907,0.9961130411521357
36,817,0.9855987756828399,0.987976383646839,0.989847500950159,0.9953701526768218,0.9901868085811231,0.9960041337677744
37,818,0.9851982035599475,0.987643739551224,0.9895519555771248,0.9952425661559262,0.9899171217566473,0.9958953288362679
38,819,0.9847975238142388,0.9873110954556091,0.9892564102040906,0.9951150825273861,0.9896473303618634,0.9957864214519065
39,820,0.9843968440685299,0.9869783453886353,0.9889609722239973,0.9949874960064905,0.9893775389670795,0.9956775140675453
40,821,0.9839962719456377,0.9866457012930202,0.9886654268509629,0.9948600123779504,0.9891078521426038,0.9955686066831841
41,822,0.9835955921999288,0.9863130571974051,0.9883699888708696,0.9947324258570548,0.98883806074782,0.9954596992988229
42,823,0.9831949124542199,0.9859804131017902,0.9880744434978354,0.9946049422285146,0.9885682693530361,0.9953507919144619
43,824,0.9827943403313276,0.9856476630348163,0.987778898124801,0.994477355707619,0.9882984779582522,0.9952418845301005
44,825,0.9823936605856187,0.9853150189392013,0.9874834601447077,0.9943498720790789,0.9880287911337764,0.9951329771457393
45,826,0.98199298083991,0.9849823748435864,0.9871879147716736,0.9942222855581833,0.9877589997389925,0.9950240697613781
46,827,0.9815924087170176,0.9846497307479714,0.98689247679158,0.9940948019296433,0.9874892083442086,0.9949151623770169
47,828,0.9811917289713089,0.9843169806809975,0.9865969314185458,0.9939672154087477,0.9872195215197328,0.9948062549926557
